Year,Country,Player,Team
2011,Argentina,Lionel Messi,FC Barcelona
2012,Argentina,Lionel Messi,FC Barcelona
2013,Portugal,Cristiano Ronaldo,Real Madrid C.F.
2014,Portugal,Cristiano Ronaldo,Real Madrid C.F.
2015,Argentina,Lionel Messi,FC Barcelona
2016,Portugal,Cristiano Ronaldo,Real Madrid C.F.
2017,Portugal,Cristiano Ronaldo,Real Madrid C.F.
2018,Croatia,Luka Modrić,Real Madrid C.F.
2019,Argentina,Lionel Messi,FC Barcelona
2020,Poland,Robert Lewandowski,FC Bayern Munich
